family,relation,language,keys,positive_direction_keys,strong_direction_keys,mean_delta_bits_per_event,language_relation_replicated
monoalphabetic,hmm_space_free,French,5,5,5,0.3181640489374251,True
monoalphabetic,hmm_space_free,German,5,5,5,0.3768753305581861,True
monoalphabetic,hmm_space_free,Italian,5,5,5,0.3490491553941674,True
monoalphabetic,hmm_space_free,Latin,5,5,5,0.37773957239602307,True
monoalphabetic,hmm_token_aware,French,5,5,5,0.39792205023986876,True
monoalphabetic,hmm_token_aware,German,5,5,5,0.4523582860281401,True
monoalphabetic,hmm_token_aware,Italian,5,5,5,0.44914207122688443,True
monoalphabetic,hmm_token_aware,Latin,5,5,5,0.5020138631815736,True
monoalphabetic,slot_grammar,French,5,5,5,0.5445844113507885,True
monoalphabetic,slot_grammar,German,5,5,5,0.5829059085284765,True
monoalphabetic,slot_grammar,Italian,5,5,5,0.5541571840513304,True
monoalphabetic,slot_grammar,Latin,5,5,5,0.6850423042989965,True
monoalphabetic,token_markov,French,5,0,0,-0.5799627124979105,False
monoalphabetic,token_markov,German,5,0,0,-0.2714983095812249,False
monoalphabetic,token_markov,Italian,5,0,0,-0.3776879251667711,False
monoalphabetic,token_markov,Latin,5,0,0,-0.5814435701166509,False
monoalphabetic,copy_edit,French,5,5,5,1.1038735237410342,True
monoalphabetic,copy_edit,German,5,5,5,1.1069179847117754,True
monoalphabetic,copy_edit,Italian,5,5,5,1.0917513262468597,True
monoalphabetic,copy_edit,Latin,5,5,5,1.0125132960367438,True
homophonic,hmm_space_free,French,5,0,0,-0.0807474776122179,False
homophonic,hmm_space_free,German,5,0,0,-0.05474025454829921,False
homophonic,hmm_space_free,Italian,5,0,0,-0.038612305371793276,False
homophonic,hmm_space_free,Latin,5,5,4,0.04393506976141985,True
homophonic,hmm_token_aware,French,5,5,5,0.11525337264038474,True
homophonic,hmm_token_aware,German,5,5,5,0.12694082070003992,True
homophonic,hmm_token_aware,Italian,5,5,5,0.16326741758753283,True
homophonic,hmm_token_aware,Latin,5,5,5,0.230779555606936,True
homophonic,slot_grammar,French,5,5,5,0.33922043800640117,True
homophonic,slot_grammar,German,5,5,5,0.3761637008789453,True
homophonic,slot_grammar,Italian,5,5,5,0.3328620669946224,True
homophonic,slot_grammar,Latin,5,5,5,0.4579783353155042,True
homophonic,token_markov,French,5,5,5,0.163648991007212,True
homophonic,token_markov,German,5,5,5,0.18535555556825134,True
homophonic,token_markov,Italian,5,5,5,0.17689914421381872,True
homophonic,token_markov,Latin,5,5,5,0.10753937728983728,True
homophonic,copy_edit,French,5,5,5,0.8509536444788719,True
homophonic,copy_edit,German,5,5,5,0.8328923566994639,True
homophonic,copy_edit,Italian,5,5,5,0.8908715076759407,True
homophonic,copy_edit,Latin,5,5,5,0.9117412303895905,True
verbose,hmm_space_free,French,5,0,0,-0.15894304156722416,False
verbose,hmm_space_free,German,5,0,0,-0.12926472497194771,False
verbose,hmm_space_free,Italian,5,0,0,-0.1844723838599435,False
verbose,hmm_space_free,Latin,5,0,0,-0.13142826037016442,False
verbose,hmm_token_aware,French,5,0,0,-0.1297265911149399,False
verbose,hmm_token_aware,German,5,0,0,-0.06097858650120456,False
verbose,hmm_token_aware,Italian,5,0,0,-0.08812952952706339,False
verbose,hmm_token_aware,Latin,5,0,0,-0.12396850846016476,False
verbose,slot_grammar,French,5,5,5,0.19774076683349523,True
verbose,slot_grammar,German,5,5,5,0.2234427720190549,True
verbose,slot_grammar,Italian,5,5,5,0.1814400373450759,True
verbose,slot_grammar,Latin,5,4,4,0.03514292892662487,True
verbose,token_markov,French,5,0,0,-0.8218550085228864,False
verbose,token_markov,German,5,0,0,-0.6030109530960764,False
verbose,token_markov,Italian,5,0,0,-0.6737804541951633,False
verbose,token_markov,Latin,5,0,0,-0.8367459655055127,False
verbose,copy_edit,French,5,5,5,0.4685549653495079,True
verbose,copy_edit,German,5,5,5,0.5918774964050402,True
verbose,copy_edit,Italian,5,5,5,0.41967787028895354,True
verbose,copy_edit,Latin,5,5,5,0.10551456703914726,True
null_insertion,hmm_space_free,French,5,5,5,0.16171123224341769,True
null_insertion,hmm_space_free,German,5,5,5,0.20861578245285717,True
null_insertion,hmm_space_free,Italian,5,5,5,0.22665791986926287,True
null_insertion,hmm_space_free,Latin,5,5,5,0.22819897134662268,True
null_insertion,hmm_token_aware,French,5,5,5,0.2523613395316624,True
null_insertion,hmm_token_aware,German,5,5,5,0.29793062608326293,True
null_insertion,hmm_token_aware,Italian,5,5,5,0.3128718026473158,True
null_insertion,hmm_token_aware,Latin,5,5,5,0.33689895848847307,True
null_insertion,slot_grammar,French,5,5,5,0.43975678647008065,True
null_insertion,slot_grammar,German,5,5,5,0.4689789673799728,True
null_insertion,slot_grammar,Italian,5,5,5,0.4812790814420637,True
null_insertion,slot_grammar,Latin,5,5,5,0.5404542924393094,True
null_insertion,token_markov,French,5,0,0,-0.015349191179318211,False
null_insertion,token_markov,German,5,5,5,0.045237657431171564,True
null_insertion,token_markov,Italian,5,5,3,0.02174593984924309,False
null_insertion,token_markov,Latin,5,0,0,-0.02870471424727512,False
null_insertion,copy_edit,French,5,5,5,0.8857435155195855,True
null_insertion,copy_edit,German,5,5,5,0.8998528848889009,True
null_insertion,copy_edit,Italian,5,5,5,0.9112212756693736,True
null_insertion,copy_edit,Latin,5,5,5,0.8136726038598029,True
nomenclator,hmm_space_free,French,5,5,5,0.3436368806268063,True
nomenclator,hmm_space_free,German,5,5,5,0.33881382075110694,True
nomenclator,hmm_space_free,Italian,5,5,5,0.3590774179253363,True
nomenclator,hmm_space_free,Latin,5,5,5,0.3716328647424783,True
nomenclator,hmm_token_aware,French,5,5,5,0.340689330055417,True
nomenclator,hmm_token_aware,German,5,5,5,0.3683008505130133,True
nomenclator,hmm_token_aware,Italian,5,5,5,0.3454920267989953,True
nomenclator,hmm_token_aware,Latin,5,5,5,0.4239570278566519,True
nomenclator,slot_grammar,French,5,5,5,0.5873536373926316,True
nomenclator,slot_grammar,German,5,5,5,0.6243492780883813,True
nomenclator,slot_grammar,Italian,5,5,5,0.5759492462391622,True
nomenclator,slot_grammar,Latin,5,5,5,0.7324244962388694,True
nomenclator,token_markov,French,5,0,0,-0.5158834797681859,False
nomenclator,token_markov,German,5,0,0,-0.24793554277584767,False
nomenclator,token_markov,Italian,5,0,0,-0.3559989269378036,False
nomenclator,token_markov,Latin,5,0,0,-0.5153867628334439,False
nomenclator,copy_edit,French,5,5,5,1.4083487402541104,True
nomenclator,copy_edit,German,5,5,5,1.3690737736229588,True
nomenclator,copy_edit,Italian,5,5,5,1.3089175111756037,True
nomenclator,copy_edit,Latin,5,5,5,1.2089450729360243,True
transposition,hmm_space_free,French,5,0,0,-0.09693227005044083,False
transposition,hmm_space_free,German,5,0,0,-0.10983374384717344,False
transposition,hmm_space_free,Italian,5,0,0,-0.09757730817093808,False
transposition,hmm_space_free,Latin,5,0,0,-0.044938154079741464,False
transposition,hmm_token_aware,French,5,0,0,-0.07832939067054409,False
transposition,hmm_token_aware,German,5,0,0,-0.11441052832323964,False
transposition,hmm_token_aware,Italian,5,0,0,-0.07973831690181506,False
transposition,hmm_token_aware,Latin,5,0,0,-0.05937689657015612,False
transposition,slot_grammar,French,5,0,0,-0.08303857145349784,False
transposition,slot_grammar,German,5,0,0,-0.0999319792826479,False
transposition,slot_grammar,Italian,5,0,0,-0.08979910766270649,False
transposition,slot_grammar,Latin,5,0,0,-0.06553094198560636,False
transposition,token_markov,French,5,5,5,0.17281448117363282,True
transposition,token_markov,German,5,5,5,0.2151775409411541,True
transposition,token_markov,Italian,5,5,5,0.2439226633649164,True
transposition,token_markov,Latin,5,5,5,0.1669133822694052,True
transposition,copy_edit,French,5,0,0,-0.08424345982222307,False
transposition,copy_edit,German,5,0,0,-0.09524401423983297,False
transposition,copy_edit,Italian,5,0,0,-0.0915207261972327,False
transposition,copy_edit,Latin,5,0,0,-0.06718512810079051,False
syllabic_hybrid,hmm_space_free,French,5,5,5,1.177697727658181,True
syllabic_hybrid,hmm_space_free,German,5,5,5,0.9087807292661036,True
syllabic_hybrid,hmm_space_free,Italian,5,5,5,0.8287548898943597,True
syllabic_hybrid,hmm_space_free,Latin,5,5,5,1.3788123555005023,True
syllabic_hybrid,hmm_token_aware,French,5,5,5,1.120185869071471,True
syllabic_hybrid,hmm_token_aware,German,5,5,5,0.8881963177970904,True
syllabic_hybrid,hmm_token_aware,Italian,5,5,5,0.9212353097994491,True
syllabic_hybrid,hmm_token_aware,Latin,5,5,5,1.4766063014009525,True
syllabic_hybrid,slot_grammar,French,5,5,5,1.0100884378562642,True
syllabic_hybrid,slot_grammar,German,5,5,5,0.7918870806123491,True
syllabic_hybrid,slot_grammar,Italian,5,5,5,0.9251106748184341,True
syllabic_hybrid,slot_grammar,Latin,5,5,5,1.3698632126137191,True
syllabic_hybrid,token_markov,French,5,0,0,-0.2518511791848259,False
syllabic_hybrid,token_markov,German,5,0,0,-0.07144739346588791,False
syllabic_hybrid,token_markov,Italian,5,0,0,-0.13503318605955705,False
syllabic_hybrid,token_markov,Latin,5,0,0,-0.16641511473175674,False
syllabic_hybrid,copy_edit,French,5,5,5,1.8501231903230835,True
syllabic_hybrid,copy_edit,German,5,5,5,1.4915407527965874,True
syllabic_hybrid,copy_edit,Italian,5,5,5,1.6239941176617698,True
syllabic_hybrid,copy_edit,Latin,5,5,5,2.056531711198076,True
